"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"Med Chem Res (2013), 22(4), 1795-1803 (DOI:10.1007/s00044-012-0183-y)"	4	5	11	Manual data extraction	Data standardisation and curation	CHEMBL3044669
"Med Chem Res (2013), 22(3), 1330-1338 (DOI:10.1007/s00044-012-0104-0)"	11	44	242	Manual data extraction	Data standardisation and curation	CHEMBL3044670
"Med Chem Res (2013), 22(2), 635-646 (DOI:10.1007/s00044-012-0060-8)"	28	13	326	Manual data extraction	Data standardisation and curation	CHEMBL3044671
"Med Chem Res (2005), 14(8), 445-474 (DOI:10.1007/s00044-006-0150-6)"	18	59	2573	Manual data extraction	Data standardisation and curation	CHEMBL3044672
"J Agric Food Chem (2010), 58(8), 4992-4998 (PMID:20349960)"	23	23	389	Manual data extraction	Data standardisation and curation	CHEMBL3044673
"Med Chem Res (2013), 22(3), 1229-1237 (DOI:10.1007/s00044-012-0131-x)"	19	8	146	Manual data extraction	Data standardisation and curation	CHEMBL3044674
"Molecules (2011), 16(7), 5618-5628 (DOI:10.3390/molecules16075618)"	16	14	224	Manual data extraction	Data standardisation and curation	CHEMBL3044675
"J Pesticide Sci (2003), 28(2), 183-187 (DOI:10.1584/jpestics.28.183)"	19	29	212	Manual data extraction	Data standardisation and curation	CHEMBL3044676
"J Agric Food Chem (2012), 60(32), 7792-7798 (PMID:22823278)"	21	19	87	Manual data extraction	Data standardisation and curation	CHEMBL3044677
"Molecules (2005), 10(2), 427-434 (PMID:18007314)"	24	5	120	Manual data extraction	Data standardisation and curation	CHEMBL3044678
"Med Chem Res (2011), 20(8), 1349-1356 (DOI:10.1007/s00044-010-9484-1)"	23	3	69	Manual data extraction	Data standardisation and curation	CHEMBL3044679
"Med Chem Res (2012), 21(7), 1199-1206 (DOI:10.1007/s00044-011-9632-2)"	17	8	135	Manual data extraction	Data standardisation and curation	CHEMBL3044680
"Med Chem Res (2009), 18(9), 703-711 (DOI:10.1007/s00044-008-9161-9)"	15	1	15	Manual data extraction	Data standardisation and curation	CHEMBL3044681
"Med Chem Res (2012), 21(7), 964-973 (DOI:10.1007/s00044-011-9593-5)"	25	2	38	Manual data extraction	Data standardisation and curation	CHEMBL3044682
"J Pesticide Sci (2012), 37(1), 95-98 (DOI:10.1584/jpestics.G11-47)"	11	2	22	Manual data extraction	Data standardisation and curation	CHEMBL3044683
"Med Chem Res (2011), 20(4), 466-474 (DOI:10.1007/s00044-010-9340-3)"	16	4	128	Manual data extraction	Data standardisation and curation	CHEMBL3044684
"Med Chem Res (2009), 18(7), 579-588 (DOI:10.1007/s00044-008-9151-y)"	21	1	21	Manual data extraction	Data standardisation and curation	CHEMBL3044685
"Med Chem Res (2013), 22(7), 3282-3288 (DOI:10.1007/s00044-012-0293-6)"	11	9	52	Manual data extraction	Data standardisation and curation	CHEMBL3044686
"Med Chem Res (2012), 21(7), 1098-1106 (DOI:10.1007/s00044-011-9611-7)"	22	18	378	Manual data extraction	Data standardisation and curation	CHEMBL3044687
"J Pesticide Sci (2004), 29(3), 214-216 (DOI:10.1584/jpestics.29.214)"	4	6	7	Manual data extraction	Data standardisation and curation	CHEMBL3044688
"J Pesticide Sci (1992), 17(2), 131-135 (DOI:10.1584/jpestics.17.2_131)"	43	4	58	Manual data extraction	Data standardisation and curation	CHEMBL3044689
"J Agric Food Chem (2004), 52(7), 1918-1922 (PMID:15053529)"	6	17	70	Manual data extraction	Data standardisation and curation	CHEMBL3044690
"Pest Manag Sci (2010), 66(3), 248-252 (PMID:19834883)"	1	26	26	Manual data extraction	Data standardisation and curation	CHEMBL3044691
"Biol. Pharm. Bull. (2004), 27(6), 899-902 (PMID:15187442)"	6	53	89	Manual data extraction	Data standardisation and curation	CHEMBL3044692
"Med Chem Res (2013), 22(9), 4286-4292 (DOI:10.1007/s00044-012-0263-z)"	9	14	63	Manual data extraction	Data standardisation and curation	CHEMBL3044693
"Crop Protection (2006), 25(9), 956-962 (DOI:10.1016/j.cropro.2005.12.009)"	1	8	8	Manual data extraction	Data standardisation and curation	CHEMBL3044694
"Tetrahedron (1999), 55(36), 11051-11076 (DOI:10.1016/S0040-4020(99)00613-4)"	20	4	44	Manual data extraction	Data standardisation and curation	CHEMBL3044695
"Med Chem Res (2013), 22(8), 3703-3711 (DOI:10.1007/s00044-012-0371-9)"	9	20	98	Manual data extraction	Data standardisation and curation	CHEMBL3044696
"Ind Crops Prod (2013), 42(), 520-526 (DOI:10.1016/j.indcrop.2012.06.045)"	18	6	83	Manual data extraction	Data standardisation and curation	CHEMBL3044697
